Time;Temperature;Humidity
1455377232;22.50;23.7266
1455377262;22.50;23.0878
1455377292;22.50;23.7266
1455377322;22.50;23.0878
1455377352;22.50;23.7266
1455377382;22.50;23.7266
1455377412;22.50;23.7266
1455377442;22.50;23.0878
1455377472;22.50;23.0878
1455377502;22.50;23.7266
1455377532;22.50;23.0878
1455377562;22.50;23.0878
1455377592;22.50;23.0878
1455377622;22.50;23.7266
1455377652;22.50;23.7266
1455377682;22.50;23.0878
1455377712;22.50;23.0878
1455377742;22.50;23.0878
1455377772;22.50;23.0878
1455377802;22.50;23.7266
1455377832;22.50;23.0878
1455377862;22.50;23.0878
1455377892;22.50;23.0878
1455377922;22.50;23.0878
1455377952;22.50;23.0878
1455377982;22.50;24.3653
1455378012;22.50;23.0878
1455378042;22.50;23.0878
1455378072;22.50;23.0878
1455378102;22.50;23.7266
1455378132;22.50;23.0878
1455378162;22.50;23.0878
1455378192;22.50;23.7266
1455378222;22.50;23.7266
1455378252;22.50;23.7266
1455378282;22.50;23.0878
1455378312;22.50;23.7266
1455378342;22.50;23.7266
1455378372;22.50;23.7266
1455378402;22.50;23.7266
1455378432;22.50;24.3653
1455378462;22.50;23.7266
1455378492;22.50;23.7266
1455378522;22.50;23.0878
1455378552;22.50;23.7266
1455378582;22.50;23.7266
1455378612;22.50;23.7266
1455378642;22.50;23.0878
1455378672;22.50;23.7266
1455378702;22.50;23.0878
1455378732;22.50;23.7266
1455378762;22.50;23.7266
1455378792;22.50;23.7266
1455378822;22.50;23.7266
1455378852;22.50;23.0878
1455378882;22.50;24.3653
1455378912;22.50;23.0878
1455378942;22.50;23.7266
1455378972;22.50;23.7266
1455379002;22.50;23.7266
1455379032;22.50;23.0878
1455379062;22.50;23.0878
1455379092;22.50;23.0878
1455379122;22.50;23.0878
1455379152;22.50;23.7266
1455379182;22.50;23.0878
1455379212;22.50;23.0878
1455379242;22.50;23.0878
1455379272;22.50;23.7266
1455379302;22.50;23.0878
1455379332;22.50;23.0878
1455379362;22.50;23.0878
1455379422;22.50;22.4491
1455379452;22.50;23.0878
1455379482;22.50;23.0878
1455379512;22.50;23.7266
1455379582;22.50;23.0878
1455385522;22.50;22.4491
1455385582;22.50;22.4491
1455385642;22.50;21.8104
1455385702;22.50;21.8104
1455385762;22.50;22.4491
1455385822;22.50;21.8104
1455385882;22.50;21.8104
1455385942;22.50;22.4491
1457189492;22.50;21.1716
1457189522;22.50;21.1716
1457189552;22.50;20.5329
1457189582;22.50;20.5329
1457189612;24.00;34.5852
1457189642;24.00;41.6114
1457189672;24.00;46.0826
1457190242;25.00;33.9465
1457190272;25.00;32.0302
1457190302;24.50;30.7527
1457190332;24.50;29.4753
1457190362;24.50;28.8365
1457190392;24.50;28.1978
1457190422;24.50;27.5590
1457190452;24.00;26.9203
1457190482;24.00;26.2816
1457190512;24.00;26.2816
1457190542;24.00;25.6428
1457190572;24.00;25.6428
1457190602;24.00;25.0041
1457190632;24.00;25.0041
1457190662;24.00;23.7266
1457190692;23.50;23.7266
1457191292;23.00;21.1716
1457191322;23.00;21.1716
